Image, nth, axis, time, TP, FP, FN, TN
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 2, -1, 3.42608, 1702460, 29823, 523, 119887674
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 2, 0, 2.36273, 1693614, 12282, 9369, 119905215
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 2, 1, 2.43065, 1693647, 13276, 9336, 119904221
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 2, 2, 2.59278, 1644851, 40160, 58132, 119877337
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 3, -1, 3.25185, 1700753, 42992, 2230, 119874505
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 3, 0, 2.12393, 1682777, 18165, 20206, 119899332
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 3, 1, 2.2325, 1680750, 19090, 22233, 119898407
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 3, 2, 2.19399, 1585951, 66551, 117032, 119850946
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 4, -1, 3.11045, 1698935, 45666, 4048, 119871831
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 4, 0, 2.17033, 1674716, 19385, 28267, 119898112
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 4, 1, 2.09276, 1672562, 21360, 30421, 119896137
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 4, 2, 2.01419, 1496171, 59898, 206812, 119857599
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 5, -1, 3.17999, 1696921, 56102, 6062, 119861395
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 5, 0, 1.97182, 1666716, 23224, 36267, 119894273
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 5, 1, 2.14394, 1661795, 27094, 41188, 119890403
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 5, 2, 1.90811, 1474282, 63560, 228701, 119853937
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 6, -1, 2.985, 1695101, 64518, 7882, 119852979
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 6, 0, 1.93717, 1660052, 28336, 42931, 119889161
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 6, 1, 2.05607, 1655504, 31693, 47479, 119885804
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 6, 2, 1.77616, 1389770, 70209, 313213, 119847288
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 7, -1, 2.85874, 1693632, 82643, 9351, 119834854
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 7, 0, 1.96611, 1656161, 33710, 46822, 119883787
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 7, 1, 1.91816, 1645275, 38651, 57708, 119878846
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 7, 2, 1.82724, 1296856, 72242, 406127, 119845255
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 8, -1, 2.81482, 1690812, 77976, 12171, 119839521
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 8, 0, 1.88723, 1646705, 33111, 56278, 119884386
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 8, 1, 1.94936, 1638867, 41427, 64116, 119876070
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/case_2_labels.mha, 8, 2, 1.82876, 1181599, 60347, 521384, 119857150
